name	notes	ingredient	page
STIGGINS' DAIQUIRI #2	PINEAPPLE SAGE LEAF	GARNISH (PINEAPPLE SAGE LEAF)	88
STIGGINS' DAIQUIRI #2	LIME WEDGE	GARNISH (LIME WEDGE)	88

COBBLER'S DREAM	ABSINTHE	ABSINTHE	91
COBBLER'S DREAM	RYE	WHISKEY (RYE)	91
COBBLER'S DREAM	PUNT E MES	VERMOUTH (SWEET)	91
COBBLER'S DREAM	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	91
COBBLER'S DREAM	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	91
COBBLER'S DREAM	LEMON TWIST	TWIST (LEMON)	91

COMMODORE	BOURBON	WHISKEY (BOURBON)	92
COMMODORE	TEMPUS FUGIT CREME DE CACAO	LIQUEUR (CREME DE CACAO)	92
COMMODORE	FRESH LEMON JUICE	JUICE (LEMON)	92
COMMODORE	GRENADINE	SYRUP (GRENADINE)	92

GREEN GLACIER	COGNAC	BRANDY (GRAPE)	93
GREEN GLACIER	GREEN CHARTREUSE	CHARTREUSE (GREEN)	93
GREEN GLACIER	TEMPUS FUGIT CREME DE CACAO	LIQUEUR (CREME DE CACAO)	93
GREEN GLACIER	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	93
GREEN GLACIER	ORANGE ZEST	TWIST (ORANGE)	93

THE CHAMPS-ELYSEES COCKTAIL	COGNAC	BRANDY (GRAPE)	94
THE CHAMPS-ELYSEES COCKTAIL	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	94
THE CHAMPS-ELYSEES COCKTAIL	FRESH LEMON JUICE	JUICE (LEMON)	94
THE CHAMPS-ELYSEES COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	94

MAGNOLIA	GIN	GIN	97
MAGNOLIA	SALERS APERITIF LA BOUNOUX GENTIANE	APERITIF (SALERS)	97
MAGNOLIA	CREME DE MURE	LIQUEUR (CREME DE MURE)	97
MAGNOLIA	ANGOSTURA BITTERS	BITTERS (AROMATIC)	97
MAGNOLIA	LEMON TWIST	TWIST (LEMON)	97

CHAMOMILE SOUR	CHAMOMILE SCOTCH	WHISKEY (CHAMOMILE SCOTCH)	98
CHAMOMILE SOUR	FRESH LEMON JUICE	JUICE (LEMON)	98
CHAMOMILE SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	98
CHAMOMILE SOUR	EGG WHITE	EGG (WHITE)	98
CHAMOMILE SOUR	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	98
CHAMOMILE SOUR	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	98

MARMALADE SOUR	CACHACA	CACHACA	101
MARMALADE SOUR	ORANGE MARMALADE	MARMALADE (ORANGE)	101
MARMALADE SOUR	CITRUS MARMALADE	MARMALADE (CITRUS)	101
MARMALADE SOUR	GRAPEFRUIT MARMALADE	MARMALADE (GRAPEFRUIT)	101
MARMALADE SOUR	FRESH LEMON JUICE	JUICE (LEMON)	101
MARMALADE SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	101
MARMALADE SOUR	ORANGE BITTERS	BITTERS (ORANGE)	101
MARMALADE SOUR	EGG WHITE	EGG (WHITE)	101
MARMALADE SOUR	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	101

WIDOW'S KISS NO. 2	CALVADOS	BRANDY (APPLE)	102
WIDOW'S KISS NO. 2	BENEDICTINE	LIQUEUR (BENEDICTINE)	102
WIDOW'S KISS NO. 2	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	102
WIDOW'S KISS NO. 2	FRESH LEMON JUICE	JUICE (LEMON)	102
WIDOW'S KISS NO. 2	ANGOSTURA BITTERS	BITTERS (AROMATIC)	102
WIDOW'S KISS NO. 2	CHERRY	GARNISH (CHERRY)	102

RASPBERRY FLIP	BOURBON	WHISKEY (BOURBON)	105
RASPBERRY FLIP	RASPBERRY LIQUEUR	LIQUEUR (RASPBERRY)	105
RASPBERRY FLIP	EGG	EGG (WHOLE)	105
RASPBERRY FLIP	PEACH BITTERS	BITTERS (PEACH)	105
RASPBERRY FLIP	RASPBERRIES (FRESH OR FROZEN)	FRUIT (RASPBERRIES)	105
