name	notes	ingredient	page
CAFE TOUBA	DJER SYRUP	SYRUP (DJER)	206
CAFE TOUBA	SALINE SOLUTION	SALINE SOLUTION	206
CAFE TOUBA	CREAM	CREAM (HEAVY)	206

SCHOKOZITRONE	CHOCOLATE INFUSED VODKA	VODKA (CHOCOLATE INFUSED)	209
SCHOKOZITRONE	FRESH LEMON JUICE	JUICE (LEMON)	209
SCHOKOZITRONE	SIMPLE SYRUP	SYRUP (SIMPLE)	209
SCHOKOZITRONE	RAPID CHOCOLATE BITTERS	BITTERS (CHOCOLATE)	209
SCHOKOZITRONE	SALINE SOLUTION	SALINE SOLUTION	209
SCHOKOZITRONE	CANDIED GINGER	GARNISH (CANDIED GINGER)	209

CUCUMBER MARTINI	GIN	GIN	228
CUCUMBER MARTINI	DOLIN BLANC	VERMOUTH (BLANC)	228
CUCUMBER MARTINI	SIMPLE SYRUP	SYRUP (SIMPLE)	228
CUCUMBER MARTINI	SALINE SOLUTION	SALINE SOLUTION	228
CUCUMBER MARTINI	CUCUMBER	VEGETABLE (CUCUMBER)	228
CUCUMBER MARTINI	LIME	FRUIT (LIME)	228
CUCUMBER MARTINI	MALDON SALT	SALT (MALDON)	228
CUCUMBER MARTINI	CELERY SEEDS	SPICE (CELERY SEED)	228

BENJAMIN FRANKLIN'S MILK PUNCH	BRANDY	BRANDY (GRAPE)	267
BENJAMIN FRANKLIN'S MILK PUNCH	LEMONS	FRUIT (LEMON)	267
BENJAMIN FRANKLIN'S MILK PUNCH	WATER	WATER	267
BENJAMIN FRANKLIN'S MILK PUNCH	NUTMEGS	SPICE (NUTMEG)	267
BENJAMIN FRANKLIN'S MILK PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	267
BENJAMIN FRANKLIN'S MILK PUNCH	SUGAR	SUGAR	267
BENJAMIN FRANKLIN'S MILK PUNCH	MILK	CREAM (MILK)	267

TEA TIME	MILK-WASHED TEA-INFUSED VODKA	VODKA (MILK-WASHED, TEA INFUSED)	268
TEA TIME	HONEY SYRUP	SYRUP (HONEY)	268
