name	notes	ingredient	page
PRICKLY PEAR SANGRIA	LEMON	FRUIT (LEMON)	128
PRICKLY PEAR SANGRIA	LIME	FRUIT (LIME)	128
PRICKLY PEAR SANGRIA	ORANGE	FRUIT (ORANGE)	128
PRICKLY PEAR SANGRIA	PRICKLY PEAR	FRUIT (PRICKLY PEAR)	128
PRICKLY PEAR SANGRIA	BRANDY OR VODKA	BRANDY (GRAPE)	128
PRICKLY PEAR SANGRIA	TRIPLE SEC	LIQUEUR (ORANGE)	128
PRICKLY PEAR SANGRIA	DRY WHITE WINE SUCH AS SPANISH RIOJA	WINE (DRY WHITE)	128
PRICKLY PEAR SANGRIA	PRICKLY PEAR SYRUP	SYRUP (PRICKLY PEAR)	128
PRICKLY PEAR SANGRIA	SPANISH CAVA OR SPARKLING WINE	WINE (SPARKLING)	128

THE BAY RUM	DARK RUM	RUM (DARK)	137
THE BAY RUM	ST ELIZABETH ALLSPICE DRAM	LIQUEUR (ALLSPICE DRAM)	137
THE BAY RUM	VELVET FALERNUM	LIQUEUR (FALERNUM)	137
THE BAY RUM	ANGOSTURA BITTERS	BITTERS (AROMATIC)	137
THE BAY RUM	FRESH ORANGE JUICE	JUICE (ORANGE)	137

BISON GRASS COCKTAIL	ZUBROWKA	VODKA (BISON GRASS)	147
BISON GRASS COCKTAIL	DRY VERMOUTH	VERMOUTH (DRY)	147
BISON GRASS COCKTAIL	APPLE JUICE	JUICE (APPLE)	147

PIMM'S CUP	PIMM'S NO. 1	LIQUEUR (PIMM'S)	161
PIMM'S CUP	LEMONADE	JUICE (LEMONADE)	161
PIMM'S CUP	CUCUMBERS	VEG (CUCUCMBER)	161
PIMM'S CUP	ORANGES	FRUIT (ORANGE)	161
PIMM'S CUP	STRAWBERRIES	FRUIT (STRAWBERRY)	161
PIMM'S CUP	SPEARMINT	GARNISH (MINT)	161

DR. STRUWE'S SUZE AND SODA	SUZE	LIQUEUR (SUZE)	164
DR. STRUWE'S SUZE AND SODA	SODA WATER	SODA	164
DR. STRUWE'S SUZE AND SODA	LEMON TWIST	TWIST (LEMON)	164

MOSCOW MULE	LIME	FRUIT (LIME)	167
MOSCOW MULE	VODKA	VODKA	167
MOSCOW MULE	SIMPLE SYRUP	SYRUP (SIMPLE)	167
MOSCOW MULE	GINGER BEER, SUCH AS REED'S	SODA (GINGER BEER)	167

THE CLASSIC MARTINI	GIN	GIN	173
THE CLASSIC MARTINI	DRY WHITE VERMOUTH	VERMOUTH (BLANC)	173
THE CLASSIC MARTINI	OLIVE	GARNISH (OLIVE)	173
THE CLASSIC MARTINI	LEMON PEEL	TWIST (LEMON)	173

DOMBREY'S LAST WORD	GIN	GIN (LONDON DRY)	175
DOMBREY'S LAST WORD	VERVEIN DU VELAY	LIQUEUR (VERVEIN DU VELAY)	175
DOMBREY'S LAST WORD	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	175
DOMBREY'S LAST WORD	FRESH LEMON JUICE	JUCIE (LEMON)	175
DOMBREY'S LAST WORD	LEMON VERBENA	GARNISH (LEMON VERBENA)	175

SAZERAC	SUGAR CUBE	SUGAR (CUBE)	184
SAZERAC	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	184
SAZERAC	RYE	WHISKEY (RYE)	184
SAZERAC	HERBSAINT, ABSINTHE, OR PASTIS	ABSINTHE	184
SAZERAC	LEMON PEEL	TWIST (LEMON)	184

JERRY THOMAS' REGENT'S PUNCH	STRONG GREEN TEA	TEA (GREEN)	186
JERRY THOMAS' REGENT'S PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	186
JERRY THOMAS' REGENT'S PUNCH	CAPILLAIRE SYRUP	SYRUP (CAPILLAIRE)	186
JERRY THOMAS' REGENT'S PUNCH	RUM	RUM	186
JERRY THOMAS' REGENT'S PUNCH	BRANDY	BRANDY (GRAPE)	186
JERRY THOMAS' REGENT'S PUNCH	ARRACK	BATAVIA ARRACK	186
JERRY THOMAS' REGENT'S PUNCH	CURACAO	LIQUEUR (CURACAO)	186
JERRY THOMAS' REGENT'S PUNCH	CHAMPAGNE	WINE (SPARKLING)	186
