name	notes	ingredient	page
NEW YORK SOUR	DRY RED WINE (MALBEC OR SYRAH)	WINE (DRY RED)	92
NEW YORK SOUR	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	92
NEW YORK SOUR	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	92

WHISKEY SOUR	RITTENHOUSE RYE	WHISKEY (RYE)	94
WHISKEY SOUR	FRESH LEMON JUICE	JUICE (LEMON)	94
WHISKEY SOUR	FRESH ORANGE JUICE	JUICE (ORANGE)	94
WHISKEY SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	94
WHISKEY SOUR	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	94
WHISKEY SOUR	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	94

NEW YORKER	WILD TURKEY 101 PROOF RYE	WHISKEY (RYE OVERPROOF)	95
NEW YORKER	FRESH LEMON JUICE	JUICE (LEMON)	95
NEW YORKER	SIMPLE SYRUP	SYRUP (SIMPLE)	95
NEW YORKER	CLUB SODA	SODA	95
NEW YORKER	LEMON WHEEL	GARNISH (LEMON WHEEL)	95
NEW YORKER	DRY RED WINE (MALBEC OR SYRAH)	WINE (DRY RED)	95

HEMINGWAY DAIQUIRI	10 CANE RUM	RUM (LIGHT)	97
HEMINGWAY DAIQUIRI	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	97
HEMINGWAY DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	97
HEMINGWAY DAIQUIRI	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	97
HEMINGWAY DAIQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	97
HEMINGWAY DAIQUIRI	LIME WHEEL	GARNISH (LIME WHEEL)	97
HEMINGWAY DAIQUIRI	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	97

CLASSIC DAIQUIRI	FLOR DE CANA 4 YEAR	RUM (AGED)	98
CLASSIC DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	98
CLASSIC DAIQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	98
CLASSIC DAIQUIRI	LIME WHEEL	GARNISH (LIME WHEEL)	98

JERSEY DEVIL	ENGLISH BISHOP	ENGLISH BISHOP	99
JERSEY DEVIL	LAIRD'S STRAIGHT APPLE BRANDY	BRANDY (APPLE)	99
JERSEY DEVIL	BERTENTZEN APFELKORN APPLE LIQUEUR	LIQUEUR (APPLE)	99
JERSEY DEVIL	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	99
JERSEY DEVIL	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	99

JACK ROSE	LAIRD'S STRAIGHT APPLE BRANDY OR APPLEJACK	BRANDY (APPLE)	100
JACK ROSE	FRESH LEMON JUICE	JUICE (LEMON)	100
JACK ROSE	SIMPLE SYRUP	SYRUP (SIMPLE)	100
JACK ROSE	HOMEMADE GRENADINE	SYRUP (GRENADINE)	100

MAI TAI	FLOR DE CANA 12 YEAR	RUM (AGED)	101
MAI TAI	MARIE BRIZARD ORANGE CURACAO	LIQUEUR (ORANGE CURACAO)	101
MAI TAI	ORGEAT	SYRUP (ORGEAT)	101
MAI TAI	FRESH LIME JUICE	JUICE (LIME)	101
MAI TAI	MINT	GARNISH (MINT)	101
MAI TAI	LIME WHEEL	GARNISH (LIME WHEEL)	101

MATA HARI	LOUIS ROYER FORCE 53	BRANDY (GRAPE)	102
MATA HARI	CHAI INFUSED SWEET VERMOUTH	VERMOUTH (SWEET, CHAI INFUSED)	102
MATA HARI	FRESH LEMON JUICE	JUICE (LEMON)	102
MATA HARI	POMEGRANATE JUICE	JUICE (POMEGRANATE)	102
MATA HARI	SIMPLE SYRUP	SYRUP (SIMPLE)	102
MATA HARI	ORGANIC ROSE BUDS	GARNISH (ROSE BUD)	102

CALVADOS SIDECAR	LEMON WEDGE	GARNISH (LEMON WEDGE)	105
CALVADOS SIDECAR	SUPERFINE SUGAR LIGHTLY MIXED WITH CINNAMON	SUGAR (SUPERFINE MIXED WITH CINNAMON)	105
CALVADOS SIDECAR	DARON FINE CALVADOS	BRANDY (APPLE)	105
CALVADOS SIDECAR	COINTREAU	LIQUEUR (ORANGE)	105
CALVADOS SIDECAR	FRESH LEMON JUICE	JUICE (LEMON)	105
CALVADOS SIDECAR	ORANGE TWIST	TWIST (ORANGE)	105

SIDE CAR	LEMON WEDGE	GARNISH (LEMON WEDGE)	107
SIDE CAR	SUPERFINE SUGAR	SUGAR (SUPERFINE)	107
SIDE CAR	COURVOISIER VS COGNAC	BRANDY (GRAPE)	107
SIDE CAR	COINTREAU	LIQUEUR (ORANGE)	107
SIDE CAR	FRESH LEMON JUICE	JUICE (LEMON)	107
SIDE CAR	ORANGE TWIST	TWIST (ORANGE)	107

MEDITERRA	LUKSUSOWA POTATO VODKA	VODKA (POTATO)	108
MEDITERRA	HONEY SYRUP	SYRUP (HONEY)	108
MEDITERRA	BOIRON OR HOMEMADE FIG PUREE	PUREE (FIG)	108
MEDITERRA	FRESH LEMON JUICE	JUICE (LEMON)	108

BEE'S KNEES	CADENHEAD'S OLD RAJ	GIN (LONDON DRY)	109
BEE'S KNEES	HONEY SYRUP	SYRUP (HONEY)	109
BEE'S KNEES	FRESH LEMON JUICE	JUICE (LEMON)	109
BEE'S KNEES	LEMON TWIST	TWIST (LEMON)	109

PIMM'S CUP	PIMM'S NO. 1	LIQUEUR (PIMM'S)	110
PIMM'S CUP	COINTREAU	LIQUEUR (ORANGE)	110
PIMM'S CUP	FRESH LIME JUICE	JUICE (LIME)	110
PIMM'S CUP	CUCUMBER WHEELS	GARNISH (CUCUMBER WHEEL)	110
PIMM'S CUP	MINT	GARNISH (MINT)	110
PIMM'S CUP	GINGER ALLE	SODA (GINGER ALE)	110

CLASSIC PIMM'S CUP	PIMM'S NO. 1	LIQUEUR (PIMM'S)	112
CLASSIC PIMM'S CUP	CUCUMBER WHEELS	GARNISH (CUCUMBER WHEEL)	112
CLASSIC PIMM'S CUP	MINT	GARNISH (MINT)	112
CLASSIC PIMM'S CUP	LEMON LIME SODA	SODA (LEMON LIME)	112

GRINGO PISCO SOUR	PISCO CAPEL RESERVADO BRANDY	BRANDY (PISCO)	113
GRINGO PISCO SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	113
GRINGO PISCO SOUR	FRESH LEMON JUICE	JUICE (LEMON)	113
GRINGO PISCO SOUR	FRESH ORANGE JUICE	JUICE (ORANGE)	113
GRINGO PISCO SOUR	EGG WHITE	EGG (WHITE)	113
GRINGO PISCO SOUR	ANGOSTURA BITTERS	BITTERS (AROMATIC)	113
GRINGO PISCO SOUR	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	113
GRINGO PISCO SOUR	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	113

PERUVIAN PISCO SOUR	BARSOL PISCO QUBRANTA	BRANDY (PISCO)	115
PERUVIAN PISCO SOUR	FRESH LIME JUICE	JUICE (LIME)	115
PERUVIAN PISCO SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	115
PERUVIAN PISCO SOUR	EGG WHITE	EGG (WHITE)	115
PERUVIAN PISCO SOUR	ANGOSTURA BITTERS	BITTERS (AROMATIC)	115
PERUVIAN PISCO SOUR	NUTMEG	GARNISH (NUTMEG)	115

PISCO PUNCH	PINEAPPLE	FRUIT (PINEAPPLE)	116
PISCO PUNCH	PINEAPPLE SYRUP	SYRUP (PINEAPPLE)	116
PISCO PUNCH	BARSOL PISCO QUBRANTA	BRANDY (PISCO)	116
PISCO PUNCH	FRESH LEMON JUICE	JUICE (LEMON)	116
PISCO PUNCH	FRESH LIME JUICE	JUICE (LIME)	116
PISCO PUNCH	BITTER TRUTH CELERY BITTERS	BITTERS (CELERY)	116
PISCO PUNCH	LEMON WHEEL	GARNISH (LEMON WHEEL)	116
PISCO PUNCH	PINEAPPLE WEDGE	GARNISH (PINEAPPLE WEDGE)	116

QUIET STORM	MAKER'S MARK BOURBON	WHISKEY (BOURBON)	118
QUIET STORM	RED BUSH INFUSED VERMOUTH	VERMOUTH (BLANC ROOIBOS TEA INFUSED)	118
QUIET STORM	FRESH LEMON JUICE	JUICE (LEMON)	118
